Titre;Rang;Date;Technique;Hauteur;Largeur;Collection;Crédit_Photographique;Remarques
Flèche 2;104;2007;huile sur MDF;103;69;;;
;105;vers 2007;huile sur MDF;93;69;;;
Personnage blessé 2;106;2007;huile sur MDF;93;69;;;
Ancienne figure;107;2008;huile sur MDF;103.1;73.3;;;
;108;2008;huile sur MDF;103;70.1;;;
;109;vers 2006;huile sur panneau;50;50;;;
;110;2008;huile sur MDF;103.1;69;;;
;111;2009;huile sur MDF;60;60;;;
;112;vers 2008-2009;huile sur MDF;60;60;;;
Carré détruit;113;2009;huile sur MDF;60;60;;;
;114;vers 2008-2009;huile sur MDF;60;60;;;
;115;années 2000;huile sur MDF;60;60;;;
;116;années 2000;huile sur panneau;86;75;;;
;117;vers 2014;huile sur panneau;60;60;;;
;118;vers 2010-2011;huile sur MDF;60;60;;;
;119;vers 2010-2011;huile sur MDF;60;60;;;
;120;2013;huile sur MDF;60;60;;;
;121;2014;huile sur MDF;60;60;;;
;122;vers 2013;huile sur MDF;60;60;;;
;123;entre 2005 et 2015;huile sur MDF;60;60;;;
;124;vers 2012;huile sur MDF;103.8;70;;;
;125;vers 2013;huile sur MDF;60;60;;;
;126;entre 2000 et 2012;huile sur panneau;58;30;;;
;127;2015;huile sur contreplaqué;244;94;;;(diptyque)
